symbol,market,setup,direction,signal_date,entry_date,entry,stop,target,exit_date,exit,exit_reason,bars_held,days_held,size_units,risk_amount,r_gross,cost_r,r_net,mae_r,mfe_r,exit_ambiguous
XRPUSDT,crypto,B,short,2023-03-02,2023-03-03,0.3692,0.383984,0.33963199999999993,2023-03-07,0.383984,stop,4,4.0,6764.069264,100.0,-1.0,0.058,-1.058,1.0,0.697,False
DOGEUSDT,crypto,B,short,2023-03-02,2023-03-03,0.07836,0.0827241,0.06963180000000001,2023-03-09,0.06963180000000001,target,6,6.0,22914.23203,100.0,2.0,0.051,1.949,0.0,2.0,False
ZECUSDT,crypto,A,short,2023-03-26,2023-03-27,34.7,40.1316,23.83680000000001,2023-04-11,40.1316,stop,15,15.0,18.410781,100.0,-1.0,0.0363,-1.0363,1.0,0.0,False
AAVEUSDT,crypto,A,short,2023-04-02,2023-04-03,71.6,79.636,55.52799999999999,2023-04-06,79.636,stop,3,3.0,12.444002,100.0,-1.0,0.0184,-1.0184,1.0,0.0,False
ETHUSDT,crypto,B,long,2023-04-05,2023-04-06,1908.68,1813.36,2099.3200000000006,2023-04-14,2099.3200000000006,target,8,8.0,1.049098,100.0,2.0,0.0712,1.9288,0.888,2.0,False
NEARUSDT,crypto,A,short,2023-04-08,2023-04-09,1.952,2.14331,1.5693799999999998,2023-04-12,2.14331,stop,3,3.0,522.711829,100.0,-1.0,0.021,-1.021,1.0,0.0,False
BTCUSDT,crypto,B,long,2023-04-09,2023-04-10,29184.7,28204.3,31145.500000000004,2023-04-10,28204.3,stop_same_bar,0,0.0,0.101999,100.0,-1.0,0.0322,-1.0322,1.0,0.0,False
BTCUSDT,crypto,B,long,2023-04-10,2023-04-11,29637.35,28160.1,32591.85,2023-04-20,28160.1,stop,9,9.0,0.067693,100.0,-1.0,0.0757,-1.0757,1.0,0.922,False
SHIBUSDT,crypto,A,short,2023-04-11,2023-04-12,1.085e-05,1.19079e-05,8.734199999999998e-06,2023-05-08,8.734199999999998e-06,target,26,26.0,94526892.90103,100.0,2.0,0.0902,1.9098,0.974,2.0,False
BTCUSDT,crypto,A,long,2023-04-25,2023-04-26,28400.0,26439.9,32320.199999999997,2023-05-12,26439.9,stop,16,16.0,0.051018,100.0,-1.0,0.0849,-1.0849,1.0,0.801,False
ETHUSDT,crypto,A,long,2023-05-02,2023-05-03,1886.49,1746.12,2167.2300000000005,2023-05-12,1746.12,stop,9,9.0,0.712403,100.0,-1.0,0.0505,-1.0505,1.0,0.944,False
NEARUSDT,crypto,B,short,2023-05-24,2023-05-25,1.541,1.62557,1.3718599999999999,2023-05-27,1.62557,stop,2,2.0,1182.452406,100.0,-1.0,0.0315,-1.0315,1.0,0.118,False
ETHUSDT,crypto,B,long,2023-05-28,2023-05-29,1908.64,1813.96,2098.0,2023-06-05,1813.96,stop,7,7.0,1.056189,100.0,-1.0,0.064,-1.064,1.0,0.088,False
SHIBUSDT,crypto,B,short,2023-06-01,2023-06-02,8.28e-06,8.61705e-06,7.6058999999999995e-06,2023-06-02,8.61705e-06,stop_same_bar,0,0.0,296691885.476932,100.0,-1.0,0.0276,-1.0276,1.0,0.0,False
SHIBUSDT,crypto,B,short,2023-06-04,2023-06-05,8.24e-06,8.56331e-06,7.593380000000001e-06,2023-06-05,8.56331e-06,stop_same_bar,0,0.0,309300671.182457,100.0,-1.0,0.0286,-1.0286,1.0,0.0,False
NEARUSDT,crypto,A,short,2023-06-04,2023-06-05,1.598,1.72343,1.3471400000000002,2023-06-10,1.3471400000000002,target,5,5.0,797.257434,100.0,2.0,0.032,1.968,0.0,2.0,False
XRPUSDT,crypto,A,long,2023-06-21,2023-06-22,0.5034,0.442416,0.6253679999999999,2023-07-13,0.6253679999999999,target,21,21.0,1639.774367,100.0,2.0,0.0622,1.9378,0.887,2.0,False
SOLUSDT,crypto,A,short,2023-06-25,2023-06-26,16.37,18.3321,12.445800000000002,2023-06-30,18.3321,stop,4,4.0,50.965802,100.0,-1.0,0.0197,-1.0197,1.0,0.392,False
LTCUSDT,crypto,A,long,2023-07-12,2023-07-13,98.35,88.6098,117.83039999999997,2023-07-24,88.6098,stop,11,11.0,10.26673,100.0,-1.0,0.0439,-1.0439,1.0,0.542,False
DEXEUSDT,crypto,B,short,2023-07-24,2023-07-25,2.165,2.32831,1.83838,2023-07-25,2.32831,stop_same_bar,0,0.0,612.332374,100.0,-1.0,0.0151,-1.0151,1.0,0.0,False
DEXEUSDT,crypto,B,short,2023-07-31,2023-08-01,2.15,2.28545,1.8790999999999998,2023-08-10,2.28545,stop,9,9.0,738.279808,100.0,-1.0,0.0609,-1.0609,1.0,0.0,False
BNBUSDT,crypto,A,short,2023-07-31,2023-08-01,240.3,247.986,224.92800000000005,2023-08-02,247.986,stop,1,1.0,13.010669,100.0,-1.0,0.0443,-1.0443,1.0,0.0,False
LTCUSDT,crypto,B,short,2023-08-02,2023-08-03,87.27,92.069,77.67199999999998,2023-08-15,77.67199999999998,target,12,12.0,20.837675,100.0,2.0,0.0844,1.9156,0.0,2.0,False
LINKUSDT,crypto,A,long,2023-08-05,2023-08-06,7.265,6.81257,8.16986,2023-08-15,6.81257,stop,9,9.0,221.028667,100.0,-1.0,0.0605,-1.0605,1.0,1.446,False
NEARUSDT,crypto,B,short,2023-08-06,2023-08-07,1.317,1.38068,1.18964,2023-08-16,1.18964,target,9,9.0,1570.351759,100.0,2.0,0.0775,1.9225,0.927,2.0,False
SOLUSDT,crypto,B,long,2023-08-14,2023-08-15,25.24,23.9864,27.747199999999996,2023-08-15,23.9864,stop_same_bar,0,0.0,79.770262,100.0,-1.0,0.0216,-1.0216,1.0,0.0,False
BNBUSDT,crypto,B,short,2023-08-14,2023-08-15,235.7,240.512,226.07599999999996,2023-08-15,240.512,stop_same_bar,0,0.0,20.78138,100.0,-1.0,0.0544,-1.0544,1.0,0.0,False
TRXUSDT,crypto,B,long,2023-08-23,2023-08-24,0.07762,0.0757107,0.08143859999999997,2023-08-30,0.0757107,stop,6,6.0,52375.216048,100.0,-1.0,0.1173,-1.1173,1.0,0.178,False
TRXUSDT,crypto,B,long,2023-09-05,2023-09-06,0.07796,0.0764786,0.08092280000000002,2023-09-12,0.08092280000000002,target,6,6.0,67503.712704,100.0,2.0,0.1537,1.8463,0.655,2.0,False
LTCUSDT,crypto,B,short,2023-09-05,2023-09-06,61.83,64.8636,55.762799999999984,2023-09-15,64.8636,stop,9,9.0,32.964135,100.0,-1.0,0.078,-1.078,1.0,1.368,False
AAVEUSDT,crypto,B,short,2023-09-09,2023-09-10,53.57,55.9172,48.8756,2023-09-10,55.9172,stop_same_bar,0,0.0,42.603954,100.0,-1.0,0.0257,-1.0257,1.0,0.0,False
AAVEUSDT,crypto,B,short,2023-09-10,2023-09-11,53.57,55.9395,48.830999999999996,2023-09-15,55.9395,stop,4,4.0,42.202996,100.0,-1.0,0.0525,-1.0525,1.0,0.641,False
XRPUSDT,crypto,B,short,2023-09-11,2023-09-12,0.4744,0.509195,0.40481000000000006,2023-09-19,0.509195,stop,7,7.0,2873.976146,100.0,-1.0,0.0442,-1.0442,1.0,0.06,False
TRXUSDT,crypto,B,long,2023-09-12,2023-09-13,0.08075,0.0778007,0.0866486,2023-09-28,0.0866486,target,15,15.0,33906.350659,100.0,2.0,0.1544,1.8456,0.0,2.0,False
NEARUSDT,crypto,A,short,2023-10-01,2023-10-02,1.12,1.19131,0.9773800000000001,2023-10-19,0.9773800000000001,target,17,17.0,1402.327864,100.0,2.0,0.0963,1.9037,0.056,2.0,False
SHIBUSDT,crypto,B,short,2023-10-04,2023-10-05,7.13e-06,7.38835e-06,6.613300000000001e-06,2023-10-19,6.613300000000001e-06,target,14,14.0,387071801.819238,100.0,2.0,0.1452,1.8548,0.658,2.0,False
LTCUSDT,crypto,A,short,2023-10-08,2023-10-09,64.95,69.9549,54.94020000000002,2023-10-24,69.9549,stop,15,15.0,19.980419,100.0,-1.0,0.0732,-1.0732,1.0,1.049,False
TRXUSDT,crypto,A,long,2023-10-14,2023-10-15,0.08581,0.0838445,0.08974099999999999,2023-10-16,0.08974099999999999,target,1,1.0,50877.639278,100.0,2.0,0.0622,1.9378,0.0,2.0,False
LINKUSDT,crypto,A,long,2023-10-14,2023-10-15,7.403,6.92059,8.367819999999998,2023-10-21,8.367819999999998,target,6,6.0,207.292552,100.0,2.0,0.0456,1.9544,0.39,2.0,False
SOLUSDT,crypto,B,long,2023-12-03,2023-12-04,63.9,59.2249,73.2502,2023-12-05,59.2249,stop,1,1.0,21.389917,100.0,-1.0,0.0186,-1.0186,1.0,0.0,False
SOLUSDT,crypto,B,long,2023-12-05,2023-12-06,65.53,60.8849,74.8202,2023-12-08,74.8202,target,2,2.0,21.528062,100.0,2.0,0.0251,1.9749,0.837,2.0,False
LINKUSDT,crypto,A,long,2023-12-18,2023-12-19,14.681,13.0854,17.8722,2024-01-03,13.0854,stop,15,15.0,62.672349,100.0,-1.0,0.051,-1.051,1.0,1.875,False
SUIUSDT,crypto,B,long,2023-12-19,2023-12-20,0.7268,0.668421,0.8435579999999999,2023-12-20,0.668421,stop_same_bar,0,0.0,1712.944723,100.0,-1.0,0.0131,-1.0131,1.0,0.0,False
DEXEUSDT,crypto,A,long,2023-12-21,2023-12-22,3.989,3.18063,5.60574,2024-01-23,3.18063,stop,32,32.0,123.705729,100.0,-1.0,0.0523,-1.0523,1.0,1.175,False
SOLUSDT,crypto,A,long,2024-01-08,2024-01-09,99.97,79.6477,140.6146,2024-01-23,79.6477,stop,14,14.0,4.920703,100.0,-1.0,0.0255,-1.0255,1.0,0.362,False
NEARUSDT,crypto,A,long,2024-01-08,2024-01-09,3.539,2.67162,5.273760000000001,2024-01-22,2.67162,stop,13,13.0,115.289723,100.0,-1.0,0.0199,-1.0199,1.0,0.352,False
BNBUSDT,crypto,A,long,2024-01-09,2024-01-10,308.1,282.243,359.8140000000001,2024-02-15,359.8140000000001,target,36,36.0,3.867425,100.0,2.0,0.1429,1.8571,0.797,2.0,False
SUIUSDT,crypto,A,long,2024-01-22,2024-01-23,1.1312,0.943032,1.507536,2024-01-29,1.507536,target,6,6.0,531.43999,100.0,2.0,0.0185,1.9815,0.0,2.0,False
SOLUSDT,crypto,A,long,2024-01-24,2024-01-25,89.47,74.7328,118.9444,2024-02-28,118.9444,target,34,34.0,6.785549,100.0,2.0,0.0697,1.9303,0.238,2.0,False
ZECUSDT,crypto,B,short,2024-02-05,2024-02-06,20.52,21.712,18.136,2024-02-15,21.712,stop,9,9.0,83.892617,100.0,-1.0,0.066,-1.066,1.0,1.2,False
PEPEUSDT,crypto,A,short,2024-02-11,2024-02-12,9.8e-07,1.07947e-06,7.810599999999998e-07,2024-02-12,1.07947e-06,stop_same_bar,0,0.0,1005328239.670251,100.0,-1.0,0.0114,-1.0114,1.0,0.0,False
NEARUSDT,crypto,B,long,2024-02-11,2024-02-12,3.234,3.026,3.6500000000000004,2024-02-24,3.6500000000000004,target,12,12.0,480.769231,100.0,2.0,0.0742,1.9258,0.716,2.0,False
SUIUSDT,crypto,A,long,2024-02-25,2024-02-26,1.6667,1.48764,2.02482,2024-02-28,1.48764,stop,2,2.0,558.472021,100.0,-1.0,0.0153,-1.0153,1.0,0.212,False
PEPEUSDT,crypto,A,long,2024-03-19,2024-03-20,8.2e-06,5.07958e-06,1.4440839999999998e-05,2024-04-12,5.07958e-06,stop,23,23.0,32046968.036354,100.0,-1.0,0.0205,-1.0205,1.0,0.32,False
SHIBUSDT,crypto,A,long,2024-03-20,2024-03-21,2.801e-05,2.14054e-05,4.12192e-05,2024-04-12,2.14054e-05,stop,22,22.0,15140962.359568,100.0,-1.0,0.0321,-1.0321,1.0,0.733,False
WLDUSDT,crypto,A,long,2024-03-22,2024-03-23,8.448,6.5062,12.331600000000002,2024-04-03,6.5062,stop,11,11.0,51.49861,100.0,-1.0,0.0186,-1.0186,1.0,0.528,False
DEXEUSDT,crypto,A,long,2024-04-17,2024-04-18,12.575,9.51091,18.703179999999996,2024-07-04,9.51091,stop,77,77.0,32.636117,100.0,-1.0,0.0988,-1.0988,1.0,0.955,False
PEPEUSDT,crypto,A,long,2024-05-01,2024-05-02,7.6e-06,5.42311e-06,1.1953780000000001e-05,2024-05-21,1.1953780000000001e-05,target,19,19.0,45937093.743827,100.0,2.0,0.0248,1.9752,0.069,2.0,False
BNBUSDT,crypto,A,long,2024-05-02,2024-05-03,580.4,521.785,697.63,2024-06-05,697.63,target,33,33.0,1.706048,100.0,2.0,0.11,1.89,0.348,2.0,False
ZECUSDT,crypto,A,short,2024-05-06,2024-05-07,22.63,24.7939,18.302199999999996,2024-05-20,24.7939,stop,13,13.0,46.212856,100.0,-1.0,0.0528,-1.0528,1.0,0.499,False
NEARUSDT,crypto,A,long,2024-05-14,2024-05-15,7.39,6.23245,9.705099999999998,2024-06-07,6.23245,stop,23,23.0,86.389357,100.0,-1.0,0.0505,-1.0505,1.0,0.976,False
AAVEUSDT,crypto,A,short,2024-05-18,2024-05-19,84.9,93.3509,67.99820000000003,2024-05-20,93.3509,stop,1,1.0,11.833059,100.0,-1.0,0.0146,-1.0146,1.0,0.0,False
XRPUSDT,crypto,A,short,2024-05-22,2024-05-23,0.5224,0.567942,0.43131600000000003,2024-07-04,0.43131600000000003,target,42,42.0,2195.775328,100.0,2.0,0.156,1.844,0.444,2.0,False
SUIUSDT,crypto,A,short,2024-05-25,2024-05-26,1.0316,1.2149,0.665,2024-07-05,0.665,target,40,40.0,545.553737,100.0,2.0,0.0726,1.9274,0.765,2.0,False
WLDUSDT,crypto,B,short,2024-06-06,2024-06-07,4.396,4.78246,3.623079999999999,2024-06-07,4.78246,stop_same_bar,0,0.0,258.758992,100.0,-1.0,0.0131,-1.0131,1.0,0.0,False
WLDUSDT,crypto,B,short,2024-06-07,2024-06-08,4.396,4.83115,3.5256999999999996,2024-06-14,3.5256999999999996,target,6,6.0,229.805814,100.0,2.0,0.0282,1.9718,0.025,2.0,False
PEPEUSDT,crypto,A,long,2024-06-11,2024-06-12,1.313e-05,1.04251e-05,1.85398e-05,2024-06-18,1.04251e-05,stop,6,6.0,36969943.435987,100.0,-1.0,0.0135,-1.0135,1.0,0.081,False
BNBUSDT,crypto,A,long,2024-06-16,2024-06-17,611.8,577.397,680.6059999999998,2024-06-18,577.397,stop,1,1.0,2.906723,100.0,-1.0,0.0243,-1.0243,1.0,0.0,False
TRXUSDT,crypto,B,long,2024-06-21,2024-06-22,0.11835,0.115848,0.12335399999999998,2024-06-22,0.115848,stop_same_bar,0,0.0,39968.02558,100.0,-1.0,0.0515,-1.0515,1.0,0.0,False
TRXUSDT,crypto,B,long,2024-06-22,2024-06-23,0.11967,0.116331,0.126348,2024-07-01,0.126348,target,8,8.0,29949.086553,100.0,2.0,0.1265,1.8735,0.584,2.0,False
PEPEUSDT,crypto,A,long,2024-06-30,2024-07-01,1.194e-05,9.37302e-06,1.7073959999999997e-05,2024-07-04,9.37302e-06,stop,3,3.0,38956283.258927,100.0,-1.0,0.0088,-1.0088,1.0,0.0,False
DOGEUSDT,crypto,A,short,2024-07-17,2024-07-18,0.11891,0.131719,0.093292,2024-07-20,0.131719,stop,2,2.0,7807.010696,100.0,-1.0,0.0163,-1.0163,1.0,0.116,False
AAVEUSDT,crypto,B,long,2024-07-31,2024-08-01,107.52,100.381,121.79799999999999,2024-08-04,100.381,stop,3,3.0,14.007564,100.0,-1.0,0.0296,-1.0296,1.0,1.482,False
ZECUSDT,crypto,B,long,2024-08-02,2024-08-03,33.8,31.3002,38.79959999999999,2024-08-04,31.3002,stop,1,1.0,40.0032,100.0,-1.0,0.0184,-1.0184,1.0,0.0,False
ZECUSDT,crypto,B,long,2024-08-07,2024-08-08,34.79,31.8701,40.629799999999996,2024-08-08,31.8701,stop_same_bar,0,0.0,34.247748,100.0,-1.0,0.0126,-1.0126,1.0,0.0,False
XRPUSDT,crypto,A,long,2024-08-18,2024-08-19,0.5845,0.526642,0.700216,2024-09-06,0.526642,stop,18,18.0,1728.369456,100.0,-1.0,0.0651,-1.0651,1.0,0.804,False
